0.04210	 3.82306
0.05423	 3.86789
0.06886	 3.93114
0.08054	 3.96251
0.09495	 4.00204
0.11248	 4.06228
0.12712	 4.09916
0.14000	 4.12414
0.15330	 4.15525
0.16779	 4.18973
0.17960	 4.19890
0.19208	 4.21195
0.20518	 4.22072
0.21949	 4.23485
0.23219	 4.24919
0.24498	 4.25171
0.26446	 4.25122
0.28066	 4.24158
0.29434	 4.23311
0.30808	 4.22099
0.32481	 4.20324
0.33915	 4.18714
0.35266	 4.15905
0.36694	 4.12169
0.37918	 4.08677
0.39232	 4.04709
0.40487	 3.99312
0.42299	 3.91875
0.43653	 3.86503
0.45192	 3.76930
0.46220	 3.70481
0.47184	 3.64636
0.48174	 3.57926
0.49146	 3.51467
0.50221	 3.44254
0.51236	 3.37888
0.52311	 3.31481
0.53446	 3.23844
0.54425	 3.18034
0.55337	 3.10093
0.56414	 3.01081
0.57506	 2.96154
0.58462	 2.88816
0.59298	 2.82277
0.60253	 2.75823
0.61301	 2.67730
0.62343	 2.61398
0.63358	 2.54035
0.64493	 2.47307
0.66225	 2.37216
0.67180	 2.30401
0.68315	 2.24272
0.69509	 2.18590
0.70704	 2.13011
0.72107	 2.07090
0.73272	 2.01259
0.74586	 1.94869
0.76156	 1.88818
0.77374	 1.83311
0.78648	 1.77822
0.79783	 1.72908
0.81481	 1.65960
0.82829	 1.60513
0.84263	 1.55414
0.85577	 1.51126
0.87026	 1.46247
0.88181	 1.42509
0.89520	 1.38244
0.90798	 1.34108
0.92148	 1.29953
0.93328	 1.26627
0.94821	 1.22667
0.95971	 1.18792
0.97405	 1.14543
0.98719	 1.10957
0.99723	 1.08310
